# epoch,lat,lon,fix,sats,hdop,alt
1766764820.104,46.117838600000006,14.021997800000001,2,47,0.52,834.976
1766764821.106,46.117839100000005,14.0219982,2,47,0.52,834.944
1766764822.104,46.11784049999999,14.0219994,2,49,0.51,834.831
1766764823.109,46.117841399999996,14.0219995,2,48,0.51,834.786
1766764824.111,46.1178422,14.0219996,2,48,0.51,834.745
1766764825.107,46.117844299999994,14.022000299999998,2,48,0.50,834.675
1766764826.110,46.1178453,14.0219991,2,51,0.49,834.720
1766764827.110,46.117845599999995,14.021998499999999,2,51,0.48,834.705
1766764828.106,46.117845,14.021992799999998,2,50,0.48,834.690
1766764829.105,46.1178432,14.021987200000002,2,50,0.48,834.631
1766764830.112,46.117842,14.021982199999998,2,51,0.48,834.677
1766764831.106,46.1178439,14.021983799999997,2,51,0.48,834.678
1766764832.113,46.117842100000004,14.0219856,2,51,0.48,834.718
1766764833.120,46.1178432,14.021990899999999,2,51,0.48,834.720
1766764834.111,46.117848900000006,14.021991400000001,2,50,0.48,834.702
1766764835.108,46.11785369999999,14.02199,2,49,0.50,834.682
