ts,lat,lon
1766773420.117,46.117806599999994,14.021947399999998
1766773421.116,46.117806800000004,14.021947399999998
1766773422.119,46.1178075,14.0219471
1766773423.120,46.117809,14.021946300000002
1766773424.118,46.1178071,14.021943199999999
1766773425.120,46.1178058,14.0219396
1766773426.111,46.1178042,14.021934700000001
1766773427.111,46.1178055,14.021929800000002
1766773428.118,46.1178034,14.0219244
1766773429.115,46.1177989,14.0219189
1766773430.113,46.1177958,14.021916500000001
1766773431.121,46.1177913,14.0219093
1766773432.112,46.1177892,14.021905599999998
1766773433.118,46.1177901,14.021904600000001
1766773434.119,46.1177874,14.021899399999999
1766773435.117,46.117787,14.021904199999998
1766773436.119,46.1177844,14.021904900000001
1766773437.116,46.11778219999999,14.021904099999999
1766773438.119,46.1177829,14.021905499999999
1766773439.115,46.1177857,14.021907400000002
1766773440.119,46.11779620000001,14.0219098
1766773441.118,46.1177957,14.0219159
1766773442.115,46.117794100000005,14.021927799999998
1766773443.117,46.1177915,14.021927699999999
1766773444.114,46.117799399999996,14.021929499999999
1766773445.114,46.117802,14.0219273
