1766770972.065,46.1177948,14.021982
1766770973.066,46.117792099999996,14.0219842
1766770974.068,46.1177934,14.0219816
1766770975.069,46.1177939,14.021978999999998
1766770976.070,46.1177942,14.021978999999998
1766770977.070,46.117792800000004,14.0219805
1766770978.065,46.11779249999999,14.021980799999998
1766770979.065,46.1177956,14.021983299999999
1766770980.066,46.117796799999994,14.021981899999998
1766770981.067,46.11779669999999,14.0219835
1766770982.065,46.117794599999996,14.0219834
1766770983.071,46.11779369999999,14.021982
1766770984.066,46.117793600000006,14.021983599999999
1766770985.071,46.1177927,14.0219832
1766770986.071,46.1177931,14.0219817
1766770987.066,46.117792300000005,14.021977900000001
1766770988.070,46.1177947,14.021974599999998
1766770989.074,46.1177943,14.0219727
1766770990.070,46.117797,14.021974199999999
1766770991.066,46.1177989,14.021973800000001
1766770992.064,46.11779979999999,14.0219762
1766770993.065,46.11780180000001,14.021973
1766770994.064,46.1178012,14.0219762
1766770995.072,46.1178034,14.0219743
1766770996.065,46.117804400000004,14.021973500000001
1766770997.064,46.117805399999995,14.021974199999999
1766770998.068,46.1178059,14.021973
1766770999.064,46.117805600000004,14.021971599999999
1766771000.065,46.11780480000001,14.0219686
1766771001.068,46.1178034,14.0219675
