# epoch,lat,lon,fix,sats,hdop,alt
1766764433.104,46.1178322,14.0220222,2,51,0.49,840.581
1766764434.105,46.117831800000005,14.0220221,2,51,0.49,840.613
1766764435.112,46.1178338,14.0220206,2,52,0.49,840.612
1766764436.110,46.117832299999996,14.0220206,2,53,0.46,840.579
1766764437.114,46.1178322,14.0220194,2,53,0.46,840.525
1766764438.111,46.11783090000001,14.022018800000001,2,53,0.46,840.482
1766764439.112,46.1178317,14.022016799999998,2,54,0.45,840.427
1766764440.114,46.117831499999994,14.022012600000002,2,54,0.45,840.387
1766764441.112,46.1178312,14.0220114,2,55,0.45,840.364
1766764442.110,46.11783090000001,14.022008999999999,2,54,0.46,840.333
1766764443.117,46.1178307,14.0220074,2,52,0.48,840.299
1766764444.108,46.11783139999999,14.022006800000002,2,52,0.48,840.229
1766764445.107,46.1178321,14.0220057,2,53,0.48,840.185
1766764446.107,46.1178324,14.0220039,2,55,0.46,840.147
1766764447.107,46.1178333,14.022001,2,53,0.47,840.139
1766764448.107,46.117834499999994,14.0219951,2,53,0.46,840.181
1766764449.115,46.1178342,14.021995299999999,2,53,0.46,840.271
1766764450.105,46.117835799999995,14.0219947,2,53,0.46,840.210
1766764451.109,46.117834800000004,14.0219961,2,54,0.45,840.247
1766764452.110,46.1178316,14.021996300000001,2,54,0.45,840.089
1766764453.111,46.1178311,14.0219966,2,54,0.45,840.047
1766764454.104,46.1178303,14.0219966,2,53,0.46,840.057
1766764455.109,46.1178303,14.021997199999998,2,54,0.45,840.066
1766764456.105,46.1178307,14.0219979,2,54,0.45,840.093
1766764457.104,46.117828800000005,14.022000199999999,2,54,0.45,840.077
1766764458.109,46.1178294,14.021996000000001,2,54,0.45,840.095
1766764459.106,46.117831499999994,14.0219962,2,54,0.45,840.111
1766764460.105,46.11782710000001,14.0219905,2,54,0.45,840.121
1766764461.114,46.11782589999999,14.021988600000002,2,54,0.45,840.131
1766764462.105,46.1178252,14.0219842,2,54,0.45,840.130
1766764463.107,46.1178248,14.021982500000002,2,54,0.45,840.127
1766764464.108,46.1178249,14.021979600000002,2,53,0.45,840.121
1766764465.107,46.1178239,14.021977900000001,2,54,0.45,840.117
1766764466.104,46.11782230000001,14.021976800000001,2,54,0.46,840.111
1766764467.108,46.11782329999999,14.0219759,2,54,0.46,840.110
1766764468.105,46.117822,14.021976800000001,2,54,0.45,840.154
1766764469.110,46.117821500000005,14.021976400000002,2,54,0.45,840.183
1766764470.105,46.117821500000005,14.0219773,2,54,0.45,840.253
1766764471.105,46.117821400000004,14.021976700000002,2,54,0.45,840.243
1766764472.104,46.1178234,14.0219801,2,54,0.45,840.207
1766764473.110,46.1178238,14.0219831,2,54,0.45,840.208
1766764474.105,46.1178247,14.021978999999998,2,54,0.45,840.200
1766764475.104,46.11782410000001,14.0219788,2,55,0.45,840.195
1766764476.104,46.1178244,14.021982500000002,2,54,0.46,840.185
1766764477.110,46.11782289999999,14.021986499999999,2,54,0.46,840.130
1766764478.105,46.1178218,14.021986599999998,2,55,0.46,840.114
